"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BABA","Alibaba Group Holding Ltd ADR","Consumer Cyclical","Internet Retail","China",245317.80,26.77,102.43,2.36%,20781039
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BIIB","Biogen Inc","Healthcare","Drug Manufacturers - General","USA",27698.71,23.95,190.16,0.32%,928129
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"MOH","Molina Healthcare Inc","Healthcare","Healthcare Plans","USA",16977.59,15.86,289.72,0.09%,943725
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"DG","Dollar General Corp.","Consumer Defensive","Discount Stores","USA",17724.75,12.52,80.60,-1.59%,4808090
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BIDU","Baidu Inc ADR","Communication Services","Internet Content & Information","China",27568.49,12.35,94.39,2.48%,4037209
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"JD","JD.com Inc ADR","Consumer Cyclical","Internet Retail","China",54586.69,14.54,39.98,2.91%,15201976
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"HAL","Halliburton Co.","Energy","Oil & Gas Equipment & Services","USA",25010.57,9.41,28.33,-2.11%,12659459
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"MCD","McDonald's Corp","Consumer Cyclical","Restaurants","USA",227081.15,27.70,316.56,0.59%,2530947
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"HPP","Hudson Pacific Properties Inc","Real Estate","REIT - Office","USA",703.33,,4.98,7.56%,2728724
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"VALE","Vale S.A. ADR","Basic Materials","Other Industrial Metals & Mining","Brazil",45399.77,4.70,10.63,-1.02%,21766142
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"REAL","Therealreal Inc","Consumer Cyclical","Luxury Goods","USA",330.92,,3.05,-4.09%,1441977
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ACIC","American Coastal Insurance Corp","Financial","Insurance - Property & Casualty","USA",508.46,7.37,10.56,-0.85%,304320
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"OLPX","Olaplex Holdings Inc","Consumer Cyclical","Specialty Retail","USA",1376.94,29.09,2.08,-0.48%,2249387
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BCAB","BioAtla Inc","Healthcare","Biotechnology","USA",93.78,,1.94,4.86%,560854
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"APTV","Aptiv PLC","Consumer Cyclical","Auto Parts","Ireland",16866.47,5.42,71.76,2.66%,2134797
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"DLTR","Dollar Tree Inc","Consumer Defensive","Discount Stores","USA",14662.32,,68.20,0.50%,3448012
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"CRM","Salesforce Inc","Technology","Software - Application","USA",280050.64,51.00,292.94,0.63%,3087522
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BEN","Franklin Resources, Inc.","Financial","Asset Management","USA",10972.54,12.93,20.98,1.50%,5399483
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"MGA","Magna International Inc.","Consumer Cyclical","Auto Parts","Canada",12495.98,12.64,43.49,2.86%,2047377
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"NOW","ServiceNow Inc","Technology","Software - Application","USA",189880.50,166.68,921.75,0.50%,1422603
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"INTU","Intuit Inc","Technology","Software - Application","USA",171899.05,58.77,613.29,0.67%,1299487
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"BWA","BorgWarner Inc","Consumer Cyclical","Auto Parts","USA",8017.50,11.33,35.20,0.83%,1299544
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"LEA","Lear Corp.","Consumer Cyclical","Auto Parts","USA",6130.09,11.65,108.96,2.83%,741890
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"GPN","Global Payments, Inc.","Technology","Software - Infrastructure","USA",26031.76,18.75,102.31,0.68%,2207486
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"VEEV","Veeva Systems Inc","Healthcare","Health Information Services","USA",35838.35,59.07,221.32,1.98%,1380737
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ALV","Autoliv Inc.","Consumer Cyclical","Auto Parts","Sweden",7969.56,12.95,99.52,6.00%,2354223
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"GT","Goodyear Tire & Rubber Co.","Consumer Cyclical","Auto Parts","USA",2471.11,,8.68,3.21%,8671223
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"TTD","Trade Desk Inc","Technology","Software - Application","USA",58537.99,234.33,118.76,0.96%,2626133
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"VC","Visteon Corp.","Consumer Cyclical","Auto Parts","USA",2527.42,4.73,91.54,1.27%,392869
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"FTNT","Fortinet Inc","Technology","Software - Infrastructure","USA",62011.25,47.90,81.07,0.26%,2955858
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"GTX","Garrett Motion Inc","Consumer Cyclical","Auto Parts","Switzerland",1790.42,8.17,8.19,-0.12%,401040
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ZM","Zoom Video Communications Inc","Technology","Software - Application","USA",21705.35,25.26,70.52,0.46%,1444359
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"GOOG","Alphabet Inc","Communication Services","Internet Content & Information","USA",2031765.54,23.67,165.05,0.33%,13085158
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AAPL","Apple Inc","Technology","Consumer Electronics","USA",3572963.50,35.78,235.00,1.23%,46410471
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"GOOGL","Alphabet Inc","Communication Services","Internet Content & Information","USA",2011700.18,23.44,163.42,0.30%,19749192
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"OPI","Office Properties Income Trust","Real Estate","REIT - Office","USA",108.81,7.39,2.04,0.00%,258724
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"SVC","Service Properties Trust","Real Estate","REIT - Hotel & Motel","USA",575.64,,3.47,-8.20%,3178075
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AMZN","Amazon.com Inc.","Consumer Cyclical","Internet Retail","USA",1983563.50,45.28,188.99,0.78%,37374179
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"MSFT","Microsoft Corporation","Technology","Software - Infrastructure","USA",3108200.03,35.43,418.16,0.35%,17133632
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"META","Meta Platforms Inc","Communication Services","Internet Content & Information","USA",1458365.26,29.43,576.47,-0.08%,7687057
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"NVDA","NVIDIA Corp","Technology","Semiconductors","USA",3385140.00,64.79,138.00,0.78%,175762937
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"V","Visa Inc","Financial","Credit Services","USA",574238.95,31.57,290.62,0.08%,5350159
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"FSP","Franklin Street Properties Corp.","Real Estate","REIT - Office","USA",182.28,,1.76,0.00%,645560
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"MU","Micron Technology Inc.","Technology","Semiconductors","USA",123236.45,164.89,111.15,-0.80%,16684772
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ALIT","Alight Inc.","Technology","Software - Application","USA",3881.22,,7.25,-1.49%,2435024
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"MRK","Merck & Co Inc","Healthcare","Drug Manufacturers - General","USA",275533.84,20.15,108.70,-0.96%,9520167
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"DIS","Walt Disney Co","Communication Services","Entertainment","USA",176426.03,37.31,97.28,0.77%,8599300
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"NFLX","Netflix Inc.","Communication Services","Entertainment","USA",327838.68,43.23,763.89,11.09%,15947986
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"PTON","Peloton Interactive Inc","Consumer Cyclical","Leisure","USA",2198.29,,5.84,10.82%,29861056
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"ADBE","Adobe Inc","Technology","Software - Infrastructure","USA",217854.98,41.80,494.90,-0.39%,2010818
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"GNW","Genworth Financial Inc","Financial","Insurance - Life","USA",3063.09,99.02,7.09,-1.80%,1904065
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AMD","Advanced Micro Devices Inc.","Technology","Semiconductors","USA",252434.33,187.94,155.97,-0.18%,23779292
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"SNY","Sanofi ADR","Healthcare","Drug Manufacturers - General","France",137718.30,30.28,54.93,0.13%,1196674
"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
