Title,Source,Date,Url,Category,Ticker
Jim Cramer on Wells Fargo & Company (WFC) CEO Charlie Scharf: 'Turns Out Scharf's Just Real Smart',Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/jim-cramer-on-wells-fargo-company-wfc-ceo-charlie-scharf-turns-out-scharfs-just-real-smart-1377624/,Stock,WFC
"Jim Cramer Says CrowdStrike Holdings, Inc. (CRWD) 'Is A High Flyer That Sells For 85 Times Earnings'",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/jim-cramer-says-crowdstrike-holdings-inc-crwd-is-a-high-flyer-that-sells-for-85-times-earnings-1377617/,Stock,CRWD
Jim on Blackstone Inc. (BX): 'You're Buying The Life's Work Of Some Of The Smartest People In The Business World',Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/jim-on-blackstone-inc-bx-youre-buying-the-lifes-work-of-some-of-the-smartest-people-in-the-business-world-1377614/,Stock,BX
"Jim Cramer Says BlackRock, Inc. (BLK) 'Demonstrated Such Success With This Quarter'",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/jim-cramer-says-blackrock-inc-blk-demonstrated-such-success-with-this-quarter-1377610/,Stock,BLK
"Jim Cramer Says The Travelers Companies, Inc. (TRV) Is 'Raising Its Premiums And Making A Ton Of Money In The Premiums'",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/jim-cramer-says-the-travelers-companies-inc-trv-is-raising-its-premiums-and-making-a-ton-of-money-in-the-premiums-1377607/,Stock,TRV
Alibaba Group Holding Limited (BABA): Among Michael Burry's Top 10 Stock Picks Heading Into 2025,Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/alibaba-group-holding-limited-baba-among-michael-burrys-top-10-stock-picks-heading-into-2025-1377602/,Stock,BABA
Global Payments Inc. (GPN): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/global-payments-inc-gpn-an-oversold-large-cap-stock-to-buy-now-1377599/,Stock,GPN
"Shift4 Payments, Inc. (FOUR): Among Michael Burry's Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/shift4-payments-inc-four-among-michael-burrys-top-10-stock-picks-heading-into-2025-1377595/,Stock,FOUR
Biogen Inc. (BIIB): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/biogen-inc-biib-an-oversold-large-cap-stock-to-buy-now-1377593/,Stock,BIIB
"Molina Healthcare, Inc. (MOH): Among Michael Burry's Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/molina-healthcare-inc-moh-among-michael-burrys-top-10-stock-picks-heading-into-2025-1377591/,Stock,MOH
Dollar General Corporation (DG): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/dollar-general-corporation-dg-an-oversold-large-cap-stock-to-buy-now-1377585/,Stock,DG
"Baidu, Inc. (BIDU): Among Michael Burry's Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/baidu-inc-bidu-among-michael-burrys-top-10-stock-picks-heading-into-2025-1377586/,Stock,BIDU
"JD.com, Inc. (JD): Among Michael Burry's Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/jd-com-inc-jd-among-michael-burrys-top-10-stock-picks-heading-into-2025-1377581/,Stock,JD
"Trump Works McDonalds Fry Station, Stepping up Criticism of Harris",WSJ,10/20/2024,https://finance.yahoo.com/video/trump-works-mcdonald-fry-station-202000424.html,Stock,MCD
Halliburton Company (HAL): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/halliburton-company-hal-an-oversold-large-cap-stock-to-buy-now-1377578/,Stock,HAL
"Hudson Pacific Properties, Inc. HPP): Among Michael Burrys Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/hudson-pacific-properties-inc-hpp-201715132.html,Stock,HPP
"The RealReal, Inc. (REAL): Among Michael Burry's Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/the-realreal-inc-real-among-michael-burrys-top-10-stock-picks-heading-into-2025-1377571/,Stock,REAL
Vale S.A. (VALE): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/vale-s-a-vale-an-oversold-large-cap-stock-to-buy-now-1377572/,Stock,VALE
American Coastal Insurance Corporation (ACIC): Among Michael Burry's Top 10 Stock Picks Heading Into 2025,Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/american-coastal-insurance-corporation-acic-among-michael-burrys-top-10-stock-picks-heading-into-2025-1377566/,Stock,ACIC
"Baidu, Inc. (BIDU): An Oversold Large Cap Stock To Buy Now",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/baidu-inc-bidu-an-oversold-large-cap-stock-to-buy-now-1377563/,Stock,BIDU
"Olaplex Holdings, Inc. (OLPX): Among Michael Burry's Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/olaplex-holdings-inc-olpx-among-michael-burrys-top-10-stock-picks-heading-into-2025-1377562/,Stock,OLPX
Aptiv PLC (APTV): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/aptiv-plc-aptv-an-oversold-large-cap-stock-to-buy-now-1377557/,Stock,APTV
"BioAtla, Inc. (BCAB): Among Michael Burry's Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/bioatla-inc-bcab-among-michael-burrys-top-10-stock-picks-heading-into-2025-1377556/,Stock,BCAB
"Dollar Tree, Inc. (DLTR): An Oversold Large Cap Stock To Buy Now",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/dollar-tree-inc-dltr-an-oversold-large-cap-stock-to-buy-now-1377552/,Stock,DLTR
"Franklin Resources, Inc. (BEN): An Oversold Large Cap Stock To Buy Now",Insider Monkey,10/20/2024,https://www.insidermonkey.com/blog/franklin-resources-inc-ben-an-oversold-large-cap-stock-to-buy-now-1377548/,Stock,BEN
