Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
NOK,1.0,Nokia Corp ADR,Technology,Communication Equipment,Finland,23192.42,52.32,4.25,2.49%,28583800.0
ELF,1.0,e.l.f. Beauty Inc,Consumer Defensive,Household & Personal Products,USA,6353.09,60.99,112.78,-7.34%,9902638.0
TSM,1.0,Taiwan Semiconductor Manufacturing ADR,Technology,Semiconductors,Taiwan,968620.53,29.91,186.78,-1.52%,8217854.0
PYPL,1.0,PayPal Holdings Inc,Financial,Credit Services,USA,84955.14,20.25,84.74,0.77%,4256920.0
FICO,1.0,Fair Isaac Corp,Technology,Software - Application,USA,56006.08,112.5,2300.24,0.69%,48821.0
MDT,1.0,Medtronic Plc,Healthcare,Medical Devices,Ireland,107745.87,25.61,84.01,-1.16%,4648110.0
AMZN,1.0,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,2128027.92,43.37,202.38,-1.09%,22956994.0
NVDA,1.0,NVIDIA Corp,Technology,Semiconductors,USA,3566161.42,68.26,145.38,-1.11%,210400211.0
MRK,1.0,Merck & Co Inc,Healthcare,Drug Manufacturers - General,USA,246841.61,20.44,97.58,1.08%,6376920.0
MSFT,1.0,Microsoft Corporation,Technology,Software - Infrastructure,USA,3090605.64,34.31,415.69,-0.50%,10244895.0
SYM,1.0,Symbotic Inc,Industrials,Specialty Industrial Machinery,USA,21508.25,,36.73,-5.87%,2400987.0
DAL,1.0,"Delta Air Lines, Inc",Industrials,Airlines,USA,40859.21,8.79,63.32,-2.21%,8364025.0
RGLD,1.0,"Royal Gold, Inc",Basic Materials,Gold,USA,9755.67,33.95,148.36,0.32%,142109.0
ZETA,1.0,Zeta Global Holdings Corp,Technology,Software - Infrastructure,USA,5667.5,,23.87,8.39%,20999018.0
CDE,1.0,Coeur Mining Inc,Basic Materials,Gold,USA,2593.07,,6.49,-2.48%,5618307.0
HL,1.0,Hecla Mining Co,Basic Materials,Other Precious Metals & Mining,USA,3566.52,,5.6,-1.78%,7052663.0
LZB,1.0,La-Z-Boy Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,1786.02,14.7,42.7,0.92%,647235.0
INOD,1.0,Innodata Inc,Technology,Information Technology Services,USA,1278.47,74.32,44.08,-1.33%,868239.0
GCT,1.0,GigaCloud Technology Inc,Technology,Software - Infrastructure,USA,946.45,7.29,23.1,-4.35%,1083562.0
DBGI,1.0,Digital Brands Group Inc,Consumer Cyclical,Apparel Retail,USA,5.25,,0.14,16.64%,309332496.0
GS,1.0,"Goldman Sachs Group, Inc",Financial,Capital Markets,USA,182827.35,17.09,582.42,0.18%,1015874.0
WPM,1.0,Wheaton Precious Metals Corp,Basic Materials,Gold,Canada,39891.23,46.9,62.97,0.61%,792875.0
TJX,1.0,"TJX Companies, Inc",Consumer Cyclical,Apparel Retail,USA,135215.04,28.95,119.89,0.27%,6090784.0
TSLA,1.0,Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA,1098996.04,93.79,342.36,-1.05%,56595368.0
AI,1.0,C3.ai Inc,Technology,Software - Application,USA,4104.02,,32.31,-1.98%,7915516.0
META,1.0,Meta Platforms Inc,Communication Services,Internet Content & Information,USA,1424167.41,26.57,564.25,0.56%,6381054.0
RBRK,1.0,Rubrik Inc,Technology,Software - Infrastructure,USA,8248.87,,45.41,2.71%,679530.0
PYCR,1.0,Paycor HCM Inc,Technology,Software - Application,USA,2958.19,,16.47,1.89%,469170.0
FTNT,1.0,Fortinet Inc,Technology,Software - Infrastructure,USA,70266.46,46.21,91.68,0.98%,2777028.0
ROST,1.0,"Ross Stores, Inc",Consumer Cyclical,Apparel Retail,USA,46161.44,22.43,139.14,-0.09%,2612287.0
BJ,1.0,BJ's Wholesale Club Holdings Inc,Consumer Defensive,Discount Stores,USA,11336.04,21.58,85.5,-0.96%,1951319.0
WMT,1.0,Walmart Inc,Consumer Defensive,Discount Stores,USA,698999.86,35.71,86.96,0.41%,12420472.0
COST,1.0,Costco Wholesale Corp,Consumer Defensive,Discount Stores,USA,411145.64,56.02,927.94,-0.24%,867422.0
TGT,1.0,Target Corp,Consumer Defensive,Discount Stores,USA,56087.69,12.57,121.75,-21.95%,56560788.0
DELL,1.0,Dell Technologies Inc,Technology,Computer Hardware,USA,97338.05,24.57,133.62,-1.68%,3559041.0
INTC,1.0,Intel Corp,Technology,Semiconductors,USA,103029.37,,23.89,-1.29%,36037658.0
GH,1.0,Guardant Health Inc,Healthcare,Diagnostics & Research,USA,3778.3,,30.58,-0.33%,1063145.0
DGX,1.0,"Quest Diagnostics, Inc",Healthcare,Diagnostics & Research,USA,18037.1,21.69,161.6,0.27%,393396.0
HIMS,1.0,Hims & Hers Health Inc,Consumer Defensive,Household & Personal Products,USA,4772.67,50.53,21.84,-7.16%,16132297.0
QCOM,1.0,"Qualcomm, Inc",Technology,Semiconductors,USA,171571.62,17.2,154.43,-6.24%,10692258.0
ETN,1.0,Eaton Corporation plc,Industrials,Specialty Industrial Machinery,Ireland,142633.61,38.38,360.92,-0.76%,839779.0
SPGI,1.0,S&P Global Inc,Financial,Financial Data & Stock Exchanges,USA,156111.34,44.39,503.1,0.16%,596664.0
VRT,1.0,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,USA,51710.01,91.68,137.77,-2.25%,8640169.0
HOOD,1.0,Robinhood Markets Inc,Financial,Capital Markets,USA,31907.1,61.51,36.1,2.43%,30660651.0
IBKR,1.0,Interactive Brokers Group Inc,Financial,Capital Markets,USA,79670.82,29.33,188.56,1.64%,822322.0
SCHW,1.0,Charles Schwab Corp,Financial,Capital Markets,USA,147249.91,31.44,80.44,0.31%,3816035.0
AMD,1.0,Advanced Micro Devices Inc,Technology,Semiconductors,USA,222357.07,122.6,137.02,-1.70%,21175762.0
TFC,1.0,Truist Financial Corporation,Financial,Banks - Regional,USA,61331.19,,46.2,-0.92%,6765203.0
GOOGL,1.0,Alphabet Inc,Communication Services,Internet Content & Information,USA,2158959.35,23.31,175.72,-1.35%,10579928.0
GOOG,1.0,Alphabet Inc,Communication Services,Internet Content & Information,USA,2158467.74,23.5,177.12,-1.37%,8461647.0
JBLU,1.0,Jetblue Airways Corp,Industrials,Airlines,USA,2084.73,,6.01,0.84%,13959872.0
UAL,1.0,United Airlines Holdings Inc,Industrials,Airlines,USA,31002.27,11.36,94.27,0.01%,3613225.0
LW,1.0,Lamb Weston Holdings Inc,Consumer Defensive,Packaged Foods,USA,10765.41,17.72,75.49,0.57%,570537.0
OR,1.0,Osisko Gold Royalties Ltd,Basic Materials,Gold,Canada,5163.3,,19.83,0.43%,229671.0
DG,1.0,Dollar General Corp,Consumer Defensive,Discount Stores,USA,16139.57,11.4,73.39,-4.07%,5794042.0
RH,1.0,RH,Consumer Cyclical,Specialty Retail,USA,6155.48,195.29,333.04,2.89%,605227.0
WSM,1.0,"Williams-Sonoma, Inc",Consumer Cyclical,Specialty Retail,USA,21985.42,20.9,174.02,26.80%,7180836.0
AG,1.0,First Majestic Silver Corporation,Basic Materials,Silver,Canada,2751.63,,6.53,-1.95%,7014181.0
MAG,1.0,MAG Silver Corp,Basic Materials,Silver,Canada,2270.7,21.91,15.73,-0.32%,345147.0
CTGO,1.0,Contango Ore Inc,Basic Materials,Gold,USA,227.45,,18.6,-3.63%,38506.0
SVM,1.0,Silvercorp Metals Inc,Basic Materials,Silver,Canada,1074.81,11.9,3.54,-12.72%,13628961.0
MCD,1.0,McDonald's Corp,Consumer Cyclical,Restaurants,USA,208185.19,25.5,290.51,-0.08%,1616440.0
EXK,1.0,Endeavour Silver Corp,Basic Materials,Other Precious Metals & Mining,Canada,1542.92,,4.49,-9.01%,11191891.0
NCLH,1.0,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services,USA,11390.16,25.13,25.9,-1.66%,7672832.0
HES,1.0,Hess Corporation,Energy,Oil & Gas E&P,USA,45490.58,17.23,147.64,0.96%,378072.0
AVAV,1.0,AeroVironment Inc,Industrials,Aerospace & Defense,USA,5589.81,93.46,198.18,1.69%,549255.0
WIX,1.0,Wix.com Ltd,Technology,Software - Infrastructure,Israel,11723.32,169.57,210.68,14.53%,2267516.0
GLBE,1.0,Global E Online Ltd,Consumer Cyclical,Internet Retail,Israel,8018.97,,48.02,12.35%,4872270.0
