Title,Source,Date,Url,Category,Ticker,Title_Sentiment,Content_Sentiment,Combined_Sentiment
Alibaba Group Holding Limited (BABA): Among Michael Burrys Top 10 Stock Picks Heading Into 2025,Insider Monkey,10/20/2024,https://finance.yahoo.com/news/alibaba-group-holding-limited-baba-203245958.html,Stock,BABA,-0.2144,0.9827,0.62357
Biogen Inc. (BIIB): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://finance.yahoo.com/news/biogen-inc-biib-oversold-large-202811740.html,Stock,BIIB,0.0245,0.9968,0.7051099999999999
"Molina Healthcare, Inc. (MOH): Among Michael Burrys Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/molina-healthcare-inc-moh-among-202602096.html,Stock,MOH,0.0129,0.9849,0.6933
Dollar General Corporation (DG): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://finance.yahoo.com/news/dollar-general-corporation-dg-oversold-202409932.html,Stock,DG,0.0374,0.995,0.70772
"Baidu, Inc. (BIDU): Among Michael Burrys Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/baidu-inc-bidu-among-michael-202348226.html,Stock,BIDU,0.0129,0.9894,0.69645
"JD.com, Inc. (JD): Among Michael Burrys Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/jd-com-inc-jd-among-202129834.html,Stock,JD,0.0129,0.9898,0.69673
Halliburton Company (HAL): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://finance.yahoo.com/news/halliburton-company-hal-oversold-large-202020106.html,Stock,HAL,0.0245,0.996,0.7045499999999999
"Trump Works McDonalds Fry Station, Stepping up Criticism of Harris",WSJ,10/20/2024,https://finance.yahoo.com/video/trump-works-mcdonald-fry-station-202000424.html,Stock,MCD,0.3496,-0.3612,-0.14796
"Hudson Pacific Properties, Inc. HPP): Among Michael Burrys Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/hudson-pacific-properties-inc-hpp-201715132.html,Stock,HPP,0.0129,0.989,0.69617
Vale S.A. (VALE): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://finance.yahoo.com/news/vale-vale-oversold-large-cap-201446802.html,Stock,VALE,0.0245,0.9988,0.70651
"The RealReal, Inc. (REAL): Among Michael Burrys Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/realreal-inc-real-among-michael-201445756.html,Stock,REAL,0.0129,0.9905,0.6972200000000001
American Coastal Insurance Corporation (ACIC): Among Michael Burrys Top 10 Stock Picks Heading Into 2025,Insider Monkey,10/20/2024,https://finance.yahoo.com/news/american-coastal-insurance-corporation-acic-201214306.html,Stock,ACIC,0.0129,0.982,0.6912699999999999
"Baidu, Inc. (BIDU): An Oversold Large Cap Stock To Buy Now",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/baidu-inc-bidu-oversold-large-201131350.html,Stock,BIDU,0.0245,0.9978,0.7058099999999999
"Olaplex Holdings, Inc. (OLPX): Among Michael Burrys Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/olaplex-holdings-inc-olpx-among-200945124.html,Stock,OLPX,0.0129,0.9883,0.69568
"BioAtla, Inc. (BCAB): Among Michael Burrys Top 10 Stock Picks Heading Into 2025",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/bioatla-inc-bcab-among-michael-200642676.html,Stock,BCAB,0.0129,0.9826,0.69169
Aptiv PLC (APTV): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://finance.yahoo.com/news/aptiv-plc-aptv-oversold-large-200610997.html,Stock,APTV,0.0245,0.9983,0.7061599999999999
"Dollar Tree, Inc. (DLTR): An Oversold Large Cap Stock To Buy Now",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/dollar-tree-inc-dltr-oversold-195940387.html,Stock,DLTR,0.0374,0.995,0.70772
Salesforce Inc. (CRM): This High Growth Software Stock Is Profitable In 2024,Insider Monkey,10/20/2024,https://finance.yahoo.com/news/salesforce-inc-crm-high-growth-195713615.html,Stock,CRM,0.623,0.9956,0.8838199999999999
"Franklin Resources, Inc. (BEN): An Oversold Large Cap Stock To Buy Now",Insider Monkey,10/20/2024,https://finance.yahoo.com/news/franklin-resources-inc-ben-oversold-195711748.html,Stock,BEN,0.0245,0.9977,0.7057399999999999
Magna International Inc. (MGA): An Oversold Large Cap Stock To Buy Now,Insider Monkey,10/20/2024,https://finance.yahoo.com/news/magna-international-inc-mga-oversold-195330460.html,Stock,MGA,0.0245,0.9979,0.70588
