Title,Source,Date,Url,Category,Ticker
"Five Below, Inc. Announces Third Quarter Fiscal 2024 Earnings Release and Conference Call Date",GlobeNewswire,11/20/2024,https://www.globenewswire.com/news-release/2024/11/20/2984751/21529/en/Five-Below-Inc-Announces-Third-Quarter-Fiscal-2024-Earnings-Release-and-Conference-Call-Date.html,Stock,FIVE
Jack in the Box Inc. Reports Fourth Quarter and Full-Year 2024 Earnings,Business Wire,11/20/2024,https://www.businesswire.com/news/home/20241120527098/en,Stock,JACK
Backblaze Launches Proposed Follow-On Offering,Business Wire,11/20/2024,https://www.businesswire.com/news/home/20241120245070/en,Stock,BLZE
Crown Highlights Trump Administration Potential Impact on Its Water Solutions Division,GlobeNewswire,11/20/2024,https://www.globenewswire.com/news-release/2024/11/20/2984752/0/en/Crown-Highlights-Trump-Administration-Potential-Impact-on-Its-Water-Solutions-Division.html,Stock,CRKN
Personalis to Participate at Upcoming Investor Conferences,Business Wire,11/20/2024,https://www.businesswire.com/news/home/20241120667294/en,Stock,PSNL
Perimeter Solutions Completes Redomicile from Luxembourg to the U.S,Newsfile,11/20/2024,https://www.newsfilecorp.com/release/230721/Perimeter-Solutions-Completes-Redomicile-from-Luxembourg-to-the-U.S,Stock,PRM
"Combined General Meeting of December 11, 2024 -  Availability of the preparatory documents",GlobeNewswire,11/20/2024,https://www.globenewswire.com/news-release/2024/11/20/2984742/0/en/Combined-General-Meeting-of-December-11-2024-Availability-of-the-preparatory-documents.html,Stock,IVA
AMGEN ANNOUNCES SENIOR EXECUTIVE RESEARCH APPOINTMENT,PR Newswire,11/20/2024,https://www.prnewswire.com/news-releases/amgen-announces-senior-executive-research-appointment-302312094.html,Stock,AMGN
"3-Stock Lunch: Target, Williams-Sonoma and Palo Alto",CNBC TV,11/20/2024,https://www.youtube.com/watch?v=0Ao_WX3wmvw,Stock,WSM
"Republic Bancorp, Inc. Declares Common Stock Dividends",Business Wire,11/20/2024,https://www.businesswire.com/news/home/20241120051798/en,Stock,RBCAA
Caribou Biosciences to Participate in Upcoming Investor Conferences,GlobeNewswire,11/20/2024,https://www.globenewswire.com/news-release/2024/11/20/2984749/0/en/Caribou-Biosciences-to-Participate-in-Upcoming-Investor-Conferences.html,Stock,CRBU
"Trading around sectors will be tricky, says Charles Schwab's Liz Ann Sonders",CNBC TV,11/20/2024,https://www.youtube.com/watch?v=dNyCALKfiqM,Stock,SCHW
Nurix Therapeutics Receives PRIME Designation from the European Medicines Agency for NX-5948 for the Treatment of Relapsed or Refractory Chronic Lymphocytic Leukemia,GlobeNewswire,11/20/2024,https://www.globenewswire.com/news-release/2024/11/20/2984748/0/en/Nurix-Therapeutics-Receives-PRIME-Designation-from-the-European-Medicines-Agency-for-NX-5948-for-the-Treatment-of-Relapsed-or-Refractory-Chronic-Lymphocytic-Leukemia.html,Stock,NRIX
"Statement of total voting rights and shares forming the companys share capital as of November 4, 2024",GlobeNewswire,11/20/2024,https://finance.yahoo.com/news/statement-total-voting-rights-shares-210000892.html,Stock,IVA
Wipro and Lineaje Collaborate to Boost Enterprise Software Supply Chain Security,PR Newswire,11/20/2024,https://www.prweb.com/releases/wipro-and-lineaje-collaborate-to-boost-enterprise-software-supply-chain-security-302311769.html,Stock,WIT
"Align Technology Has Received CE Mark in Europe for the Invisalign Palatal Expander System to Address Skeletal and Dental Expansion in Growing Patients, Including Teenage Patients",Business Wire,11/20/2024,https://www.businesswire.com/news/home/20241120527144/en/,Stock,ALGN
E.l.f. stock tumbles as Muddy Waters shorts shares,Yahoo Finance Video,11/20/2024,https://finance.yahoo.com/video/e-l-f-stock-tumbles-205400361.html,Stock,ELF
TJX Set To Open First Stores In Spain In 2026,Sourcing Journal,11/20/2024,https://finance.yahoo.com/m/a8e89a47-7dc8-3dd6-8c6a-1751ac705044/tjx-set-to-open-first-stores.html,Stock,TJX
Wall Street Traders Wary Ahead of Nvidia Earnings: Markets Wrap,Bloomberg,11/20/2024,https://finance.yahoo.com/news/asian-stocks-tread-cautiously-ahead-224927618.html,Stock,NVDA
"Targets Slow Rebound Frustrates Investors, Sends Shares Falling",Bloomberg,11/20/2024,https://finance.yahoo.com/news/target-shares-tumble-retailer-cuts-115505119.html,Stock,TGT
"Targets Slow Rebound Frustrates Investors, Sends Shares Falling",Bloomberg,11/20/2024,https://finance.yahoo.com/news/target-shares-tumble-retailer-cuts-115505119.html,Stock,WMT
"If RFK Jr. Cuts Science Funding, These Instrument Makers May Suffer",Barrons.com,11/20/2024,https://finance.yahoo.com/m/e4d5874b-005a-3fba-b4bd-142a93156442/if-rfk-jr.-cuts-science.html,Stock,ILMN
"If RFK Jr. Cuts Science Funding, These Instrument Makers May Suffer",Barrons.com,11/20/2024,https://finance.yahoo.com/m/e4d5874b-005a-3fba-b4bd-142a93156442/if-rfk-jr.-cuts-science.html,Stock,TXG
Why the Gold Rallys Next Big Obstacle Might Be Stocks Like Nvidia,Barrons.com,11/20/2024,https://finance.yahoo.com/m/7effadf2-c0b9-3a2f-b6d6-1fe09d939a39/why-the-gold-rally%E2%80%99s-next-big.html,Stock,NVDA
"These Stocks Are Moving the Most Today: Nvidia, Target, Super Micro, Williams-Sonoma, Keysight, Fabrinet, Ford, and More",Barrons.com,11/20/2024,https://finance.yahoo.com/m/49ed9b70-8101-3e64-af58-c60dec89b6bc/these-stocks-are-moving-the.html,Stock,NFLX
